id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
24687114,125555683,Yannick Noah,Neukölln,Rixdorf,52.4808235168457,13.4447555541992,Private room,30,3,5,1,0
27925029,210934216,Yasemin,Tempelhof - Schöneberg,Friedenau,52.4712562561035,13.3349275588989,Private room,30,2,1,1,48
16188978,105715384,Yasin,Mitte,Moabit West,52.5306129455566,13.3264503479004,Private room,30,1,6,1,0
20939854,150552459,Yavuz,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.5042190551758,13.3922529220581,Private room,30,3,2,1,0
17190187,10207211,Yi-Jun,Charlottenburg-Wilm.,Düsseldorfer Straße,52.4904632568359,13.3037967681885,Private room,30,9,0,1,0
4118010,21364279,Yo (Yolaine),Mitte,Moabit Ost,52.5347404479980,13.3481473922729,Private room,30,2,95,1,0
28252271,312427,Yoan,Tempelhof - Schöneberg,Schöneberg-Nord,52.4993438720703,13.3541669845581,Private room,30,2,6,1,0
29389899,126738,Yoko,Neukölln,Neuköllner Mitte/Zentrum,52.4805793762207,13.4333171844482,Private room,30,2,1,1,58
27560722,62812112,Yong Hyun,Mitte,Moabit Ost,52.5173339843750,13.3378715515137,Private room,30,1,3,2,0
12133892,6163732,Yotam,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4923820495605,13.4106941223145,Entire home/apt,30,1,1,1,0
10794138,22381629,Yuki,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4862174987793,13.3811426162720,Shared room,30,14,1,1,0
22841671,149668897,Yve,Mitte,Brunnenstr. Süd,52.5364456176758,13.3969907760620,Private room,30,4,11,1,29
20898903,8296099,Zeki,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.5035018920898,13.4195737838745,Private room,30,4,1,1,0
9877877,7825880,Zie,Neukölln,Neuköllner Mitte/Zentrum,52.4803428649902,13.4333953857422,Private room,30,3,0,1,0
13105092,70315749,Zsolt,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4927062988281,13.4401578903198,Entire home/apt,30,1,4,1,0
8753863,2750131,Ade,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5156517028809,13.4705562591553,Entire home/apt,31,5,6,1,0
240169,1259589,Alexine,Neukölln,Rixdorf,52.4791717529297,13.4378738403320,Private room,31,3,146,3,0
14172211,85797043,Ali,Tempelhof - Schöneberg,Tempelhof,52.4677886962891,13.3862447738647,Shared room,31,1,4,1,0
7241410,2741998,Amanda,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4912796020508,13.3925752639771,Private room,31,5,5,1,0
27819813,207294251,Anna Christa,Pankow,Prenzlauer Berg Ost,52.5286293029785,13.4505081176758,Private room,31,1,2,1,337
19050207,856367,Anne,Treptow - Köpenick,Plänterwald,52.4824943542480,13.4699249267578,Private room,31,1,29,1,86
14893613,81474370,Anne-Liesa,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5150833129883,13.3108205795288,Private room,31,1,20,1,0
16970280,113518471,Anni,Pankow,Prenzlauer Berg Nord,52.5522918701172,13.4183692932129,Private room,31,2,27,1,140
23644797,3577115,Birke,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4879302978516,13.4236621856689,Private room,31,4,2,1,5
8101146,22197129,Caglar,Neukölln,Reuterstraße,52.4864044189453,13.4290666580200,Private room,31,4,0,1,0
14171995,15213063,Caleb,Pankow,Prenzlauer Berg Südwest,52.5389938354492,13.4214801788330,Private room,31,2,28,1,0
14622044,90491926,Charlotte,Neukölln,Rixdorf,52.4704017639160,13.4468774795532,Private room,31,14,2,1,36
19219891,134524835,Christiane,Mitte,Wedding Zentrum,52.5453834533691,13.3590250015259,Entire home/apt,31,2,11,1,279
19977295,45742630,Christina,Mitte,Parkviertel,52.5496711730957,13.3478794097900,Private room,31,1,10,1,350
20294429,12376926,Clara,Treptow - Köpenick,Alt  Treptow,52.4900054931641,13.4567880630493,Entire home/apt,31,14,0,1,0
26452497,1033539,Claudia,Tempelhof - Schöneberg,Schöneberg-Süd,52.4861831665039,13.3618841171265,Private room,31,2,10,2,79
7876833,40103067,Danny,Mitte,Moabit West,52.5303688049316,13.3364725112915,Private room,31,7,10,1,0
21663569,39165333,Dennis,Pankow,Weißensee,52.5509147644043,13.4571723937988,Entire home/apt,31,4,1,1,0
18130712,36439690,Dylan,Neukölln,Neuköllner Mitte/Zentrum,52.4812088012695,13.4335680007935,Private room,31,2,12,2,0
19324716,47496936,Ekaterine,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4900283813477,13.4048662185669,Private room,31,1,7,1,0
6944446,36411974,Elias,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5107994079590,13.4671106338501,Entire home/apt,31,27,0,1,0
13661891,73572959,Eri,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4893913269043,13.3897638320923,Private room,31,1,6,2,0
11811449,31470830,Eric Albert,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5105781555176,13.4597167968750,Private room,31,1,0,1,0
8371409,44122116,Fee,Mitte,Moabit West,52.5242652893066,13.3314037322998,Private room,31,2,1,1,0
19778418,6309551,Filiti,Mitte,Alexanderplatz,52.5364685058594,13.3729286193848,Private room,31,150,3,5,365
20173292,6309551,Filiti,Mitte,Alexanderplatz,52.5357284545898,13.3715076446533,Private room,31,20,5,5,290
18066481,116125052,Frank,Charlottenburg-Wilm.,Schloß Charlottenburg,52.5158576965332,13.2933416366577,Private room,31,1,83,7,346
6670861,34914724,François,Neukölln,Schillerpromenade,52.4741477966309,13.4224224090576,Entire home/apt,31,13,14,1,0
8189861,43198232,Frederikje,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.4976387023926,13.4181270599365,Private room,31,3,5,1,0
8004028,35540981,Giulia,Charlottenburg-Wilm.,Düsseldorfer Straße,52.4964027404785,13.3177013397217,Private room,31,1,22,2,355
20882822,11335936,Giuseppe,Treptow - Köpenick,Plänterwald,52.4896507263184,13.4610023498535,Private room,31,1,9,1,310
7702018,11653003,Haroun,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5174407958984,13.4313650131226,Private room,31,4,4,1,0
8777123,21899185,Isabell,Tempelhof - Schöneberg,Friedenau,52.4698562622070,13.3301906585693,Private room,31,2,5,1,260
14512780,60530735,Ivy,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4987030029297,13.4409828186035,Private room,31,3,12,3,279
1992032,2977485,Jakob,Pankow,Pankow Süd,52.5549392700195,13.4154338836670,Private room,31,1,133,2,14
147946,712973,Jan,Pankow,Prenzlauer Berg Nordwest,52.5485496520996,13.4085168838501,Entire home/apt,31,183,39,1,324
13775207,20838630,Jess,Charlottenburg-Wilm.,Westend,52.5159339904785,13.2611732482910,Entire home/apt,31,90,5,2,279
7407234,38814404,Joachim,Neukölln,Reuterstraße,52.4829063415527,13.4324283599854,Private room,31,3,143,1,220
843395,1888479,Jurij,Charlottenburg-Wilm.,Düsseldorfer Straße,52.4971542358398,13.3350143432617,Entire home/apt,31,60,2,5,114
843418,1888479,Jurij,Charlottenburg-Wilm.,Düsseldorfer Straße,52.4971580505371,13.3332729339600,Entire home/apt,31,90,3,5,158
845613,1888479,Jurij,Charlottenburg-Wilm.,Düsseldorfer Straße,52.4963607788086,13.3327007293701,Entire home/apt,31,90,1,5,279
4602829,1888479,Jurij,Charlottenburg-Wilm.,Düsseldorfer Straße,52.4967651367188,13.3321313858032,Entire home/apt,31,90,1,5,251
20652769,110137191,Jutta,Tempelhof - Schöneberg,Mariendorf,52.4298553466797,13.4030399322510,Private room,31,4,12,2,68
28974162,110137191,Jutta,Tempelhof - Schöneberg,Mariendorf,52.4295310974121,13.4033298492432,Private room,31,3,3,2,71
14159874,1574908,Jürgen,Charlottenburg-Wilm.,Halensee,52.4982643127441,13.2910823822021,Entire home/apt,31,59,2,9,280
